damage,,,single,0.8,< account for missing units,,,,,no,scalars,,,,total,AOE ,ST,PROJ,first target,ADDED,ADDED,,,SINGLE TARGET,,% scaling per second,,,AREA OF EFFECT,,,% scaling per second
effectiveness,cd,targets,hits,miss,str,fth,mag,dex,basic,speed,str,faith,magic,dex,hits,MULT,MULT,DECAY,bonus,ST,AOE,,,str,faith,magic,dex,,str,faith,magic,dex
Shield Bash,1.4,3,1,0.8,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,50.0,50.0,,,2.40,1.00,1.00,TRUE,1.54,0,0,,,54.8%,54.8%,0.0%,0.0%,,85.7%,85.7%,0.0%,0.0%
Slash,0.5,2,1.1,0.8,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,23.0,,,,1.76,1.00,1.00,TRUE,1.25,0,0,,,63.3%,0.0%,0.0%,0.0%,,81.0%,0.0%,0.0%,0.0%
Nova,1.7,3,1,0.8,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,80.0,,,2.40,1.00,1.00,TRUE,1.54,0,0,,,0.0%,72.3%,0.0%,0.0%,,0.0%,112.9%,0.0%,0.0%
Ninja Throw,0.4,1,1,1,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,,,,28.6,1.00,1.00,1.00,FALSE,1.00,0,0,,,0.0%,0.0%,0.0%,71.5%,,0.0%,0.0%,0.0%,71.5%
Magic Burst,1,3,1,0.8,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,49.0,,2.40,1.00,1.00,TRUE,1.54,0,0,,,0.0%,0.0%,75.3%,0.0%,,0.0%,0.0%,117.6%,0.0%
Holy Arrow,1.4,3,1,1,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,,52.0,,52.0,3.00,1.00,1.00,TRUE,1.54,0,0,,,0.0%,57.0%,0.0%,57.0%,,0.0%,111.4%,0.0%,111.4%
Soul Shot,1.2,2,1.3,0.8,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,,,45.0,50.0,2.08,1.00,1.00,TRUE,1.25,0,0,,,0.0%,0.0%,60.9%,67.7%,,0.0%,0.0%,78.0%,86.7%
Magic Slash,0.6,2,1.12,0.8,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,30.0,,30.0,,1.79,1.00,1.00,TRUE,1.25,0,0,,,70.0%,0.0%,70.0%,0.0%,,89.6%,0.0%,89.6%,0.0%
Gust,3,4,1,0.8,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,70.0,110.0,,3.20,1.00,1.00,TRUE,1.85,0,0,,,0.0%,43.2%,67.8%,0.0%,,0.0%,74.7%,117.3%,0.0%
